date,document,status,public_access,compiler_use,source_note_status,project_report,request_or_gap
1991-02-27,"Bush Library Daily Record","Readable public copy","https://www.bush41library.gov/digital-research-room/daily-record?date=1991-02-27","Desert Storm capstone: intelligence briefing, NSC briefing, postwar-plans meeting, sanctions discussion, and John Major call.","Chronology support only.",intelligence-matters-chapter.html,research-request-packet.html#e2-daily-diary-and-backup-cross-checks
1991-08-14,"Intelligence Authorization Act, Fiscal Year 1991","Readable public copy / statute","https://www.congress.gov/102/statute/STATUTE-105/STATUTE-105-Pg429.pdf","Legal frame for covert-action Findings and congressional notification.","Editorial/source-note support; not a substitute for NSD 79 or internal consultation records.",intelligence-matters-chapter.html,research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action
1991-11-15,"NSR 29, Intelligence Capabilities - 1992-2005","Public locator","https://irp.fas.org/offdocs/nsr/index.html","Initiates the intelligence capabilities review that leads to NSD 67 and the March 1992 NSC packets.","Locator only: official Bush Library/NARA control copy and backing papers still needed.",intelligence-matters-chapter.html,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
1991-12-04,"Intelligence Authorization Act, Fiscal Year 1992","Readable public copy / statute","https://www.congress.gov/102/statute/STATUTE-105/STATUTE-105-Pg1260.pdf","Intelligence-budget authorization and aggregate-budget-disclosure language.","Editorial/source-note support; pair with DCI, OMB, HPSCI, SSCI, and NSC files.",intelligence-matters-chapter.html,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
1991-12-20,"NSC Meeting, Covert Action 12/20/91","Public control PDF","https://www.bush41library.gov/digital-research-room/finding-aid/records-national-security-council-george-h-w-bush-administration?naid=470761489; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-025.pdf","Covert-action NSC meeting chronology and MDR target.","Locator/MDR only: current public file is mostly withdrawal and participant/control material.",intelligence-matters-chapter.html,research-request-packet.html#a2-december-20-1991-covert-action-nsc-meeting
1992-03-25,"NSC0062, Intelligence Capabilities/1992-2005","Public control PDF","https://www.bush41library.gov/digital-research-room/finding-aid/records-national-security-council-george-h-w-bush-administration?naid=470760970; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-62-90002-032.pdf","Best public-control file for IC capabilities review, Gates presentation, IC reorganization, budget mechanism, and pre-Congress review.","Partial: OA/ID 90002-032 known; withheld tabs and classification/meeting details need verification.",intelligence-matters-chapter.html,research-request-packet.html#b1-nsc0062-intelligence-capabilities
1992-03-25,"NSC Meeting NSR-29 Intelligence Priorities","Public control PDF","https://www.bush41library.gov/digital-research-room/finding-aid/records-national-security-council-george-h-w-bush-administration?naid=470761501; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-037.pdf","Parallel March 25 intelligence-priorities packet; compare with NSC0062 for duplicate pages, missing tabs, and release differences.","Partial: OA/ID 90043-037 known; compare before choosing control source.",intelligence-matters-chapter.html,research-request-packet.html#b2-nsr-29-intelligence-priorities-packet
1992-03-30,"NSD 67, Intelligence Capabilities - 1992-2005","Public locator","https://irp.fas.org/offdocs/nsd/index.html","Presidential decision point for IC changes, NFIP reallocations, and budget mechanism.","Locator only: official directive, fact sheet, and backing memoranda still needed.",intelligence-matters-chapter.html,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
1992-04-01,"Fitzwater statement on intelligence-community organizational changes","Readable public copy / Public Papers","https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg528-2.pdf","Public confirmation of President-approved IC organization changes, FY 1993-FY 1997 NFIP reallocations, budget mechanism, and Gates presentation to Congress.","Public fallback/source anchor; replace with NSD 67, OMB, DCI, and NSC records where possible.",intelligence-matters-chapter.html,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
1992-10-24,"Intelligence Authorization Act, Fiscal Year 1993","Readable public copy / statute","https://www.congress.gov/102/statute/STATUTE-106/STATUTE-106-Pg3180.pdf","DCI budget responsibilities, Community Management Staff, aggregate budget disclosure, and congressional oversight.","Editorial/source-note support; pair with DCI, OMB, and committee records.",intelligence-matters-chapter.html,research-request-packet.html#b3-nsr-29-and-nsd-67-control-copies
1992-12-23,"NSC0066, Covert Action","Public locator","https://catalog.archives.gov/id/470760974; https://www.bush41library.gov/digital-research-room/about-textual-collections/processed-nsc-meetings","Terminal covert-action meeting target if the chapter needs a late-1992 endpoint.","Locator only: file unit, OA/ID, release status, and attachments unknown.",intelligence-matters-chapter.html,research-request-packet.html#a3-nsc0066-covert-action
1993-01-19,"NSD 79, Approval and Review of Covert Action","Public control PDF","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-79-90005-033.pdf","Strongest recovered capstone for Findings, MONs, NSC/DC review, legal review, congressional notification, delayed/restricted notice, non-CIA covert action, and OMB budget consistency.","Partial: OA/ID 90005-033 known; signed final, distribution, legal memo, and version history need verification.",intelligence-matters-chapter.html,research-request-packet.html#a4-nsd-79-approval-and-review-of-covert-action
